 21.169245, 79.657152,MAHARASHTRA,BHANDARA,15.9,13.2,17.7,10.2,11.4,168,376.4,391.2,201.6,61.8,13.4,11.9,1292.7,29.1,39.3,1137.2,87.1
 27.213921, 77.500799,RAJASTHAN,BHARATPUR,9.3,8.9,5.3,3.8,11.2,40.4,184.7,229.8,102.7,17.7,3.4,3.9,621.1,18.2,20.3,557.6,25
 21.69417, 72.978556,GUJARAT,BHARUCH,0.3,0.1,0.8,0.1,4.9,135.4,283.2,221.2,146.4,22.9,8.3,1.3,824.9,0.4,5.8,786.2,32.5
 21.77414, 72.139722,GUJARAT,BHAVNAGAR,0.5,0.3,1.2,0.1,2.9,115.5,178.8,140,103.4,22.2,12.4,1,578.3,0.8,4.2,537.7,35.6
 25.347483, 74.637973,RAJASTHAN,BHILWARA,4.8,3.8,3.9,3,10.4,60,213.6,217.7,89.6,11.7,8,3.7,630.2,8.6,17.3,580.9,23.4
 26.564114, 78.789336,MADHYA PRADESH,BHIND,10.4,7.1,4.2,1.3,4.6,55.6,221.5,261.4,147,39.5,3.9,6.9,763.4,17.5,10.1,685.5,50.3
 28.791052, 76.143875,HARYANA,BHIWANI,14.6,10.4,8.1,5.5,11.2,32.3,128.2,132,56,13.4,4.2,3.6,419.5,25,24.8,348.5,21.2
 25.565465, 84.677244,BIHAR,BHOJPUR,12.5,13.4,6.9,10.3,24.9,108.7,334.6,277.6,203.5,45.1,8.6,5.4,1051.5,25.9,42.1,924.4,59.1
 23.266323, 77.414303,MADHYA PRADESH,BHOPAL,11.8,7,6.5,2.5,9.7,111.8,338.5,355.9,192.4,33.8,8.3,9.5,1087.7,18.8,18.7,998.6,51.6
 17.915869, 77.531757,KARNATAKA,BIDAR,5.9,6.1,10.1,21.7,31.4,137.1,190.7,196.6,170.5,93.5,20.9,6.2,890.7,12,63.2,694.9,120.6
 16.823754, 75.719178,KARNATAKA,BIJAPUR,2.4,2.7,5.2,20.1,46.5,94.5,91.8,91.3,158.4,111.7,24.9,6.9,656.4,5.1,71.8,436,143.5
 29.379583, 78.13407,UTTAR PRADESH,BIJNOR,34.2,25,24.1,8.2,19.1,92,342.4,321,158.8,40,6.4,11.9,1083.1,59.2,51.4,914.2,58.3
 28.016543, 73.317199,RAJASTHAN,BIKANER,4.1,7.8,5.7,4.1,14.3,29.2,85.7,74.6,39.2,4.4,2.5,2.4,274,11.9,24.1,228.7,9.3
 31.323902, 76.761527,CHATISGARH,BILASPUR,17.4,17.2,17.9,15,18.1,171.1,357.9,336.3,202.5,54.8,9.4,11.4,1229,34.6,51,1067.8,75.6
 22.074605, 82.176189,CHATISGARH,BILASPUR,17.4,17.2,17.9,15,18.1,171.1,357.9,336.3,202.5,54.8,9.4,11.4,1229,34.6,51,1067.8,75.6
 23.908735, 87.534251,WEST BENGAL,BIRBHUM,13.4,16.1,21.2,30.9,78.7,222.3,313.9,298.8,271,105.1,15.8,5.6,1392.8,29.5,130.8,1106,126.5
